Lote,"WT-3120NA-1001 (totalizer) [ton]","WT-3120NA-1002 (totalizer) [ton]","WT-3120NA-1001 (Average unbalance [%]","WT-3120NA-1002 (Average unbalance [%]","WT-3120NA-1001 (Average Overload [%]","WT-3120NA-1002 (Average Overload [%]","WT3120NA01 (Belt Scale)[ton]"
1,3074.475,3473.95,2.881068727,3.117102209,-8.643058918,-3.269437719,7814
2,3726.775,3707.725,3.3753467,2.953153091,0.131490449,-0.124764595,7472
3,3780.85,3764.05,2.035864726,1.910739442,0.858891579,0.632902879,7721
4,3773.35,3707.125,2.466813766,3.229829966,0.758003766,-0.13283562,7636
5,3717.85,3678.475,2.309157552,2.658011759,0.011433952,-0.518227065,7524
6,3663.55,3617.35,3.796093644,3.261386125,-0.718993812,-1.340462739,7554
7,3716.725,3680.8,1.667054693,1.236655178,-0.00369922,-0.486951843,7452
8,3688.975,3626.125,2.377375834,2.522899011,-0.376984127,-1.222423998,7435
9,3731.475,3708.7,1.780247101,1.846622413,0.194713479,-0.111649179,7346
10,3753.025,3721.6,3.818299605,3.231409193,0.484597794,0.061877858,7552
11,3742.45,3689.25,3.62364976,4.006106243,0.342345978,-0.373284907,7534
12,3659.525,3636.875,3.187708765,2.809511064,-0.773136938,-1.077818133,7439
13,3692.35,3668.575,2.892574212,2.815873106,-0.331584611,-0.651398978,7452
14,3681.5,3658.625,4.037050028,3.663268083,-0.477535647,-0.785243476,7324
15,3838.625,3837.3,2.31474278,1.953225332,1.63606403,1.618240517,7637
16,3794.5,3758.175,2.988989356,2.770885667,1.042507398,0.553874092,7717
17,3778.9,3748.9,1.429596646,1.341575634,0.832660748,0.429109497,7621
18,3893.85,3881.25,1.725646311,2.365653405,2.378934625,2.209443099,7960
19,3786.5,3803.325,2.749545157,2.948261153,0.934893732,1.161218725,7730
20,3694.525,3709.625,2.143227061,2.259495742,-0.302327146,-0.099206349,7539
21,3647.15,3703.875,3.492307316,3.216859508,-0.939601829,-0.176553672,7615
22,3743.95,3728.5,1.33437995,0.724968142,0.36252354,0.154694646,7532
23,3687.325,3650.275,2.023172766,1.874079434,-0.399179446,-0.897565241,7531
24,3731.275,3697.45,2.938371889,2.763128641,0.192023137,-0.262980899,7645
25,3721.15,3667.75,2.002223494,2.106596159,0.05582459,-0.662496637,7592
26,3748.15,3717.925,2.464725627,2.170410131,0.419020716,0.01244283,7553
27,3705.025,3668.275,3.138541309,2.242339877,-0.161084208,-0.65543449,7447
28,3656.95,3642.325,1.810238307,2.010700476,-0.807775087,-1.004506322,7435
29,3755.2,3687.85,2.026480676,1.876044199,0.51385526,-0.392117299,7639
30,3608.45,3586.475,2.697733327,2.629203862,-1.460182943,-1.755784235,7325
31,3628.775,3625.8,3.110767124,2.579754728,-1.186776971,-1.226795803,7236
32,3842.85,3839.325,2.050545263,1.835094429,1.692897498,1.645480226,7587
33,3688.575,3676.925,2.199314233,2.184868661,-0.38236481,-0.539077213,7324
34,3638.3,3599.3,2.427576812,2.203474364,-1.058649448,-1.583266075,7331
35,3729.125,3717.125,2.548747331,2.09512478,0.163101964,0.001681464,7518
36,3863.1,3829.1,2.706918371,2.753258465,1.965294592,1.507936508,7800
37,3740.4,3718.55,1.596999696,1.6483097,0.314769976,0.020850148,7625
38,3781.05,3759.625,1.532067931,1.517275754,0.861581921,0.573379069,7676
39,3674.525,3681.975,2.012085025,2.057889006,-0.571361313,-0.471146086,7534
40,3713,3715.525,1.979517113,2.142650102,-0.053806833,-0.01984127,7564
41,3665.225,3672.1,3.000265395,2.752476746,-0.696462201,-0.603981706,7679
42,3631,3593.425,2.828198468,2.544461998,-1.15684692,-1.662294861,7529
43,3759.1,3699.175,1.886894399,1.583388376,0.566316922,-0.239776702,7576
44,3792.025,3773.575,0.886369896,0.876793397,1.00921442,0.761030401,7722
45,3665.8,3615.325,1.929677113,1.867461907,-0.688727468,-1.367702448,7530
47,3750.175,3743.35,2.827819386,2.145604566,0.446260425,0.354452515,7642
48,3691.825,3653.65,1.562755537,1.47482822,-0.338646758,-0.852165725,7451
49,3654.225,3672.725,4.064820463,3.864731782,-0.844430993,-0.595574388,7420
50,3751.275,3701.725,1.940309934,1.826212508,0.461057304,-0.205474845,7483
51,3658.95,3643.875,2.780996219,2.57004314,-0.780871671,-0.983656174,7415
52,3691.575,3672.225,2.33375054,2.241508654,-0.342009685,-0.602300242,7352
53,3829.05,3816.2,1.843108083,1.557569786,1.507263923,1.33440947,7622
54,3782.825,3773.325,3.502672996,3.127818564,0.885458703,0.757667474,7687
55,3829.2,3789.75,2.0234582,2.019065542,1.509281679,0.978611784,7756
56,3887.65,3890.95,1.820700678,1.660464861,2.295534033,2.33992467,7941
57,3629.125,3640.025,3.147265528,2.765950408,-1.182068873,-1.035445252,7513
58,3676.15,3665.05,4.346359845,3.795688674,-0.549502287,-0.69881625,7409
59,3736.15,3684.4,2.124475739,1.825481082,0.257600215,-0.438525693,7617
60,3778.975,3756.625,1.584715035,1.107163994,0.833669626,0.533023944,7592
61,3619.375,3568.075,3.945521523,3.182703596,-1.313223029,-2.003295669,7399
62,3758.95,3726.325,2.979510218,2.690855645,0.564299166,0.125437181,7642
63,3700,3647.15,1.67017161,2.007204157,-0.228679042,-0.939601829,7304
64,3688,3675.175,3.19128132,3.345046831,-0.390099543,-0.562617702,7592
65,3722.5,3700.15,2.291833565,1.919495819,0.073984396,-0.226661286,7570
66,3703.375,3688,1.870337577,1.983922763,-0.183279526,-0.390099543,7534
67,3711.175,3709.975,2.726183811,2.349588462,-0.078356201,-0.094498251,7582
68,3738.175,3705.025,3.182105663,2.823199244,0.284839925,-0.161084208,7670
69,3684.25,3623.425,2.663545513,2.468140566,-0.440543449,-1.25874361,7533
70,3699.1,3673.075,3.946838795,3.16255647,-0.24078558,-0.59086629,7483
71,3703.375,3662.425,2.302242756,1.821052431,-0.183279526,-0.734126984,7523
72,3638.875,3603.55,4.330330187,4.25739074,-1.050914716,-1.526096314,7094
73,3605.55,3578.1,4.125304398,3.985459755,-1.499192897,-1.868442292,7209
74,3656.05,3656.55,2.834630503,2.210360248,-0.819881625,-0.813155771,7410
75,3676.95,3653.075,2.105070603,1.752924549,-0.53874092,-0.859900457,7327
76,3617.25,3592.05,3.355911912,3.281276754,-1.34180791,-1.68079096,7223
77,3823.175,3803.275,3.206944837,2.669479443,1.428235136,1.160546139,7759
78,3723.975,3702.025,2.365990091,2.668988167,0.093825666,-0.201439333,7504
79,3882.775,3869.025,2.400411775,2.273049185,2.229956955,2.044995964,7931
80,3627.45,3620.55,2.647333448,2.390632505,-1.204600484,-1.297417272,7497
81,3715.725,3710.85,1.783477858,1.405629883,-0.017150928,-0.082728006,7541
82,3869.225,3937.25,1.446513341,1.756218211,2.047686306,2.962738768,8041
83,3687.25,3657.55,3.516053869,3.082914604,-0.400188324,-0.799704062,7546
84,3707.8,3641.575,1.788444885,2.791811269,-0.123755717,-1.014595104,7604
85,3748.45,3727.075,3.195877252,2.779195188,0.423056228,0.135525962,7569
86,3694.825,3649.975,1.444143348,1.836009422,-0.298291633,-0.901600753,7455
87,3618.325,3592.375,3.049842683,2.605981552,-1.327347323,-1.676419155,7359
88,3649.075,3617.075,2.987684729,2.516521406,-0.913707291,-1.344161959,7314
89,3652.275,3618.85,3.286577204,2.836331577,-0.870661824,-1.320285176,7372
90,3858.15,3795.175,2.606009319,3.106669113,1.898708636,1.051587302,7702
91,3792.6,3800.8,3.504017752,2.856137687,1.016949153,1.127253161,7637
92,3824.825,3832.175,1.737549848,1.655677768,1.450430455,1.549300511,7844
93,3669.025,3672.55,2.770876152,2.895919182,-0.645345709,-0.597928437,7518
94,3601.125,3646.1,2.20863824,2.380654988,-1.558716707,-0.953726123,7572
95,3624.925,3607.9,3.190316511,2.741219581,-1.238566048,-1.467581383,7364
96,3765.25,3745,1.866435225,1.602131531,0.649044929,0.376647834,7621
97,3463.575,3442.75,2.658363386,2.246016879,-3.408999193,-3.68913102,6921
98,3809.075,3762.275,1.994734795,1.754601958,1.238566048,0.609026096,7532
99,3670.275,3644.7,1.47880596,1.395728124,-0.628531073,-0.972558515,7344
100,3692.65,3678.15,2.199772212,1.970087686,-0.327549099,-0.52259887,7458
101,3777.425,3761.125,1.793456418,1.582940664,0.812819478,0.593556632,7593
102,3780.225,3752.65,3.543815932,3.039618563,0.850484262,0.479553403,7537
103,3805.975,3823.95,1.429207862,1.393279571,1.196865752,1.43866021,7816
